Year,Paediatricians - Required1 - [R],Paediatricians - Sanctioned - [S],Paediatricians - In Position - [P],shortfall
2005,271,35,8,263
2006,273,34,6,267
2007,273,34,6,267
2008,273,34,6,267
2009,281,34,5,276
2010,290,34,5,285
2011,305,34,3,302
2012,318,34,3,315
2013,318,34,3,315
2014,300,33,2,298
