Year,Paediatricians - Required1 - [R],Paediatricians - Sanctioned - [S],Paediatricians - In Position - [P],Shortfall
2005,101,0,0,101
2006,70,70,12,58
2007,70,70,17,53
2008,70,70,17,53
2009,70,70,17,53
2010,70,70,17,53
2011,70,70,43,27
2012,70,70,43,27
2013,70,0,43,27
2014,70,0,14,56
