Year,Paediatricians - Required1 - [R],Paediatricians - Sanctioned - [S],Paediatricians - In Position - [P],shortfall
2006,386,0,13,373
2007,386,0,13,373
2008,515,240,135,380
2009,515,240,135,380
2010,515,240,281,234
2012,515,515,547,-32
2013,773,773,547,226
2014,773,523,154,619
