Year,Paediatricians - Required1 - [R],Paediatricians - Sanctioned - [S],Paediatricians - In Position - [P],Shortfall
2005,100,0,0,100
2008,103,0,73,30
2009,108,0,33,75
2010,108,0,43,65
2011,108,0,46,62
2012,109,0,20,89
2013,110,0,19,91
2014,151,0,19,132
