Year,Paediatricians - Required1 - [R],Paediatricians - Sanctioned - [S],Paediatricians - In Position - [P],shortfall
2005,117,105,105,12
2006,126,75,30,96
2007,126,75,30,96
2008,126,86,39,87
2009,129,112,38,91
2010,129,112,54,75
2011,129,115,60,69
2012,132,123,59,73
2013,142,142,50,92
2014,150,143,51,99
