Year,Paediatricians - Required1 - [R],Paediatricians - Sanctioned - [S],Paediatricians - In Position - [P],shortfall
2005,36,36,25,11
2006,49,41,18,31
2007,49,41,21,28
2008,55,41,18,37
2009,55,55,14,41
2010,55,45,27,28
2011,55,45,27,28
2012,59,45,20,39
2013,55,45,20,35
2014,59,54,20,39
