Year,Paediatricians - Required1 - [R],Paediatricians - Sanctioned - [S],Paediatricians - In Position - [P],shortfall
2005,66,0,1,65
2008,73,0,1,72
2009,73,0,0,73
2010,73,0,0,73
2011,76,0,4,72
2012,76,0,2,74
2013,78,0,3,75
2014,78,0,2,76
