Year,Paediatricians - Required1 - [R],Paediatricians - Sanctioned - [S],Paediatricians - In Position - [P],shortfall
2006,229,63,12,217
2007,270,115,49,221
2008,270,115,66,204
2009,333,111,49,284
2010,333,111,49,284
2011,333,160,67,266
2012,333,160,67,266
2013,333,165,85,248
2014,334,165,85,249
