Year,Paediatricians - Required1 - [R],Paediatricians - Sanctioned - [S],Paediatricians - In Position - [P],Shortfall
2005,72,72,12,60
2006,82,28,13,69
2007,86,21,7,79
2008,86,64,18,68
2009,93,46,27,66
2010,107,93,22,85
2011,107,93,14,93
2012,109,34,10,99
2013,110,21,8,102
2014,109,31,6,103
