Year,Paediatricians - Required1 - [R],Paediatricians - Sanctioned - [S],Paediatricians - In Position - [P],shortfall
2005,253,145,127,126
2006,254,145,116,138
2007,254,145,116,138
2008,323,145,116,207
2009,324,145,116,208
2010,325,325,133,192
2011,180,0,99,81
2012,180,154,95,85
2013,180,154,95,85
2014,193,154,95,98
