Year,Paediatricians - Required1 - [R],Paediatricians - Sanctioned - [S],Paediatricians - In Position - [P],shortfall
2006,194,17,22,172
2007,194,17,19,175
2008,194,0,0,194
2009,194,0,251,-57
2010,188,0,23,165
2011,188,31,12,176
2012,188,31,16,172
2013,188,31,16,172
2014,188,18,17,171
