Year,Paediatricians - Required1 - [R],Paediatricians - Sanctioned - [S],Paediatricians - In Position - [P],Shortfall
2005,116,30,9,107
2006,118,175,7,111
2007,118,175,7,111
2008,136,136,33,103
2009,144,144,36,108
2010,143,143,16,127
2011,148,148,24,124
2012,149,149,19,130
2013,157,157,16,141
2014,157,157,20,137
