Year,Paediatricians - Required1 - [R],Paediatricians - Sanctioned - [S],Paediatricians - In Position - [P],shortfall
2005,70,69,33,37
2006,80,69,33,47
2007,80,69,33,47
2008,85,69,17,68
2009,85,77,28,57
2010,85,77,28,57
2011,83,77,28,55
2012,84,77,30,54
2013,84,77,34,50
2014,84,77,34,50
