Year,Paediatricians - Required1 - [R],Paediatricians - Sanctioned - [S],Paediatricians - In Position - [P],shortfall
2005,231,180,0,231
2006,231,180,0,231
2007,231,180,0,231
2008,231,180,0,231
2009,231,91,63,168
2010,231,170,94,137
2011,377,170,100,277
2012,377,262,76,301
2013,377,262,63,314
2014,377,262,73,304
