year,Without Regular Water Supply,Without Electric Supply,Without All-Weather Motorable  Approach Road
2006,24,10,9
2007,23.6,9.6,8.9
2008,50.6,45.5,8.9
2009,27.9,45.7,0
2010,25.9,21.3,5
2011,7.4,21.3,5
2012,15.5,15.1,3.6
2013,46.5,31,3.6
2014,42.2,16.4,3.6
