year,Without Regular Water Supply,Without Electric Supply,Without All-Weather Motorable  Approach Road
2009,27.8,17.3,100
2010,21.8,7.5,2.6
2011,21.8,7.1,2.6
2012,20.2,6.8,2.4
2013,16.3,5.5,1.9
2014,43,40.3,23.1
