year,Without Regular Water Supply,Without Electric Supply,Without All-Weather Motorable  Approach Road
2006,68.3,50,29
2007,63.8,70.5,29
2008,79.3,59.3,56.4
2009,79.3,59.3,56.4
2010,88.3,63.8,27.4
2011,88.3,63.8,27.4
2012,88.3,63.8,27.4
2013,88.1,63.7,27.3
2014,88.1,63.7,27.3
