year,Without Regular Water Supply,Without Electric Supply,Without All-Weather Motorable  Approach Road
2006,52,52,19
2007,51.8,51.8,19.4
2008,53.1,44.8,24
2009,52.7,44.5,23.9
2010,45.8,27.1,23.9
2011,34.9,25.5,22.5
2012,34.7,25.3,22.3
2013,38.1,25.1,20.5
2014,42.8,28.2,19.2
