year,Without Regular Water Supply,Without Electric Supply,Without All-Weather Motorable  Approach Road
2006,71,65,15
2007,65.6,60.4,13.6
2008,71.2,40.1,3.5
2009,43,52.7,13.6
2010,65.1,46.9,16.7
2011,52.8,48.1,31.3
2012,58.1,69.7,39.6
2013,52.7,45,14.6
2014,57.2,57.4,25.7
