year,Without Regular Water Supply,Without Electric Supply,Without All-Weather Motorable  Approach Road
2006,43,27,0
2007,42.9,27,0
2008,38,23.9,0
2009,34,22.3,0
2010,34,13.6,2.7
2011,34,12.3,2.7
2012,34,39.7,2.7
2013,36,36.1,2.7
2014,36,36.1,2.7
