year,Without Regular Water Supply,Without Electric Supply,Without All-Weather Motorable  Approach Road
2009,18.9,10.6,0
2010,4.2,22,33.2
2011,4.2,22,33.2
2012,4.2,22,33.2
2013,64.7,61.2,63.3
2014,64.7,61.2,63.3
