year,Without Regular Water Supply,Without Electric Supply,Without All-Weather Motorable  Approach Road
2006,19,18,18.2
2007,18.8,18.3,18.2
2008,18.7,18.2,18.2
2009,18.7,18.2,18.2
2010,72.6,65.4,18
2011,72.6,65.4,18
2012,74.1,66.8,18.4
2013,73.7,55.2,10
2014,73.7,55.2,10
