year,Without Regular Water Supply,Without Electric Supply,Without All-Weather Motorable  Approach Road
2008,96,98.5,25.3
2009,66,67.2,31.1
2010,65.8,67.1,31.1
2011,89.3,88.1,34
2012,75.5,86.9,25.5
2013,72.8,84.4,25.5
2014,68.5,80.7,25.5
