year,Without Regular Water Supply,Without Electric Supply,Without All-Weather Motorable  Approach Road
2006,100,9.8,70
2007,86.1,9.8,69.9
2008,86.1,0,69.9
2009,89.2,0,47.8
2010,89.2,0,47.8
2011,80,0,18.6
2012,44.1,0,18.6
2013,40.8,0,15.9
2014,35.1,0,13.5
