year,Without Regular Water Supply,Without Electric Supply,Without All-Weather Motorable  Approach Road
2006,29,70.8,37
2007,68.4,70.8,37.5
2008,59.7,71.7,36.2
2009,59.7,71.7,21.6
2010,26.4,64.4,16.8
2013,50.1,65.4,16.8
2014,50.1,65.4,16.8
