year,Without Regular Water Supply,Without Electric Supply,Without All-Weather Motorable  Approach Road
2006,92,38,9
2007,92.2,37.6,9
2008,52.9,51.6,21.6
2009,0,34,0
2010,68,34,0.1
2011,68,34,0.1
2012,68,34,0.1
2013,39.4,18.7,0.1
2014,36.7,32,17.2
