year,Without Regular Water Supply,Without Electric Supply,Without All-Weather Motorable  Approach Road
2006,14,14,3
2007,13.6,14.3,2.6
2008,13.6,14.1,4.7
2009,30.6,32.5,4.4
2010,20.1,22.4,0.1
2011,15,19.9,0
2012,7.3,9.3,0
2013,5.9,8.8,0
2014,5.6,6.8,0
