year,Without Regular Water Supply,Without Electric Supply,Without All-Weather Motorable  Approach Road
2006,41,31,8
2007,42.3,37.6,12.7
2008,42.3,37.6,12.7
2009,38.1,37.8,12.4
2010,16.9,15.8,0
2011,15.9,15.7,0
2012,15.8,0,0
2013,13.9,0,0
2014,14.4,0,0
