year,Without Regular Water Supply,Without Electric Supply,Without All-Weather Motorable  Approach Road
2006,59,61,18
2007,54.6,55.9,17.1
2008,37.6,33.3,17.1
2009,44.7,41.4,46.3
2010,33.7,31,32.5
2011,33.7,31,32.5
2012,26.4,29.6,40.2
2013,26.4,29.6,40.2
2014,30.4,27,35.6
