year,Without Regular Water Supply,Without Electric Supply,Without All-Weather Motorable  Approach Road
2006,59,75,56
2007,58.9,74.7,56.4
2008,62.5,70,56.4
2009,62.5,70,56.4
2010,45.4,71,8.2
2011,45.4,71,7.9
2012,45.4,71,7.9
2013,32.5,35.9,23.9
2014,32.5,35.9,23.9
