year,Without Regular Water Supply,Without Electric Supply,Without All-Weather Motorable  Approach Road
2006,0,0,25
2007,0,0,25.2
2008,0,0,25.2
2009,0.7,0.7,29.3
2010,0,0,25.2
2011,6.2,2.7,17.1
2012,8.2,1.4,17
2013,8.2,0.7,17
2014,8.2,0.7,15
