year,Without Regular Water Supply,Without Electric Supply,Without All-Weather Motorable  Approach Road
2007,3.4,0,9.7
2008,20.9,18.4,32.8
2009,20.9,17.5,31.1
2010,18.5,13,31.1
2011,18.5,13,26.4
2012,18.5,13,26.4
2013,18.5,13,26.4
2014,17.5,8.9,26.2
