year,Without Regular Water Supply,Without Electric Supply,Without All-Weather Motorable  Approach Road
2006,27.26,20.94,14.44
2007,29.62,25.46,14.55
2008,32.99,32.82,11.83
2009,30.5,32.6,21
2010,27.8,28.5,8.1
2011,24.8,24.5,6.9
2012,25.5,25.5,6.6
2013,26.7,22.7,8.4
2014,29.1,25.9,11.7
