year,Without Regular Water Supply,Without Electric Supply,Without All-Weather Motorable  Approach Road
2006,18,8,7
2007,17.6,7.2,6.9
2008,17.6,3.2,6.9
2009,18.1,3.1,7.7
2010,17.7,2.7,7.7
2011,17.7,2.7,7.7
2012,13.3,2.4,5
2013,13.3,2.4,5
2014,13.3,2.4,5
