year,Without Regular Water Supply,Without Electric Supply,Without All-Weather Motorable  Approach Road
2008,45.8,30.1,22.8
2009,40.7,26.9,18.8
2010,40.7,26.9,18.8
2011,40.7,26.9,18.8
2012,40.7,26.9,18.8
2013,36.2,21.3,18.8
2014,33.3,21.5,19
