Year,R,S,P
2005,924,496,0
2006,924,496,0
2007,924,496,0
2008,924,496,0
2009,924,563,371
2010,924,812,469
2011,1508,812,438
2012,1508,908,317
2013,1508,908,305
2014,1508,908,346
