Year,R,S,P
2005,1528,1987,1099
2006,1628,1628,448
2007,1628,1628,448
2008,1628,314,352
2009,1504,314,438
2010,1460,314,954
2011,1460,649,600
2012,1452,649,514
2013,1444,823,489
2014,1440,823,462
