Year,R,S,P
2005,460,424,144
2006,428,424,115
2007,428,424,115
2008,428,424,115
2009,904,633,794
2010,1332,502,245
2011,896,640,774
2012,868,640,774
2013,880,24,33
2014,896,30,39
