Year,R,S,P
2005,1012,841,694
2006,1016,843,691
2007,1016,843,691
2008,1292,843,691
2009,1296,843,691
2010,1300,1300,726
2011,720,0,584
2012,720,694,495
2013,752,694,495
2014,772,733,495
