Year,R,S,P
2005,1084,324,122
2006,1092,322,84
2007,1092,322,82
2008,1092,328,81
2009,1124,338,76
2010,1160,346,79
2011,1220,346,76
2012,1272,346,76
2013,1272,0,74
2014,1200,0,74
