Year,R,S,P
2005,1192,809,586
2006,1300,870,592
2007,1348,878,600
2008,1396,932,651
2009,1468,976,598
2010,1472,931,492
2011,1504,1068,569
2012,1528,298,148
2013,1724,298,148
2014,2268,1511,651
