Year,R,S,P
2005,644,406,224
2006,668,406,224
2007,668,444,166
2008,668,444,235
2009,668,668,480
2010,668,668,480
2011,1124,578,408
2012,1124,668,346
2013,1168,668,275
2014,1168,668,275
