Year,R,S,P
2005,12888,7061,3953
2006,15640,9071,3979
2007,16180,10615,5117
2008,17104,8376,4279
2009,18040,9028,5789
2010,18140,9825,6781
2011,19236,9831,6935
2012,19332,9914,5858
2013,20748,10904,5805
2014,21452,11463,4091
