Year,R,S,P
2005,380,310,133
2006,1384,692,624
2007,1384,692,624
2008,1396,243,186
2009,1336,542,175
2010,1392,542,175
2011,1392,542,175
2012,1392,542,175
2013,1388,1792,1062
2014,1388,1792,115
