Year,R,S,P,shortfall
2005,253,253,212,41
2006,254,254,215,39
2007,254,254,215,39
2008,323,254,215,108
2009,324,254,215,109
2010,325,325,233,92
2011,180,0,175,5
2012,180,180,175,5
2013,188,180,175,13
2014,193,193,175,18
