Year,R,S,P,shortfall
2006,118,175,26,92
2007,118,175,26,92
2008,136,136,35,101
2009,144,144,35,109
2010,143,143,9,134
2011,148,148,22,126
2012,149,149,18,131
2013,157,157,15,142
2014,157,157,19,138
