Year,R,S,P,shortfall
2005,100,70,70,30
2008,103,0,142,-39
2009,108,0,67,41
2010,108,0,97,11
2011,108,0,101,7
2012,109,0,69,40
2013,110,0,67,43
2014,151,0,69,82
