Year,R,S,P,shortfall
2006,194,20,61,133
2007,194,20,61,133
2008,194,0,30,164
2009,194,0,17,177
2011,188,31,31,157
2012,188,31,30,158
2013,188,31,30,158
2014,188,31,29,159
