Year,R,S,P,shortfall
2005,12,2,2,10
2006,9,0,0,9
2007,9,0,0,9
2008,9,0,0,9
2009,9,0,0,9
2010,9,0,0,9
2011,9,0,1,8
2012,9,0,0,9
2013,9,0,0,9
2014,9,0,0,9
