Year,R,S,P,shortfall
2005,36,2,2,34
2006,49,44,34,15
2007,49,44,37,12
2008,55,44,30,25
2009,55,55,9,46
2010,55,55,20,35
2011,55,55,20,35
2012,59,55,14,45
2013,55,55,14,41
2014,59,46,13,46
