Year,R,S,P,shortfall
2006,229,63,13,216
2007,270,156,41,229
2008,270,156,53,217
2009,333,125,42,291
2010,333,125,42,291
2011,333,239,73,260
2012,333,240,73,260
2013,333,297,55,278
2014,334,297,55,279
