year,R,S,P,Shortfall,PopulationCovered
2005,484,484,424,60,33257
2006,484,634,350,134,33257
2007,484,634,350,134,33257
2008,484,484,201,283,37056
2009,394,477,349,45,40854
2010,446,477,410,36,36091
2011,446,487,487,-41,38827
2012,449,496,457,-8,38567
2013,436,481,440,-4,39780
2014,427,490,441,-14,40619
