year,R,S,P,Shortfall,PopulationCovered,per_1000
2005,1490,2497,2137,-647,37181,57.48
2006,1570,2497,2202,-632,35287,62.40
2007,1570,2497,2214,-644,35287,62.74
2008,1570,2497,2214,-644,35287,62.74
2009,1570,2497,2214,-644,35287,62.74
2010,1570,2497,2214,-644,35287,62.74
2011,1624,2424,2348,-724,34675,67.71
2012,1624,3588,3448,-1824,34675,99.44
2013,1709,3588,3118,-1409,32979,94.55
2014,1709,3588,3118,-1409,32979,94.55
