year,R,S,P,Shortfall,PopulationCovered
2007,3690,0,2001,1689,35972
2008,3690,0,2001,1689,35826
2009,3690,293,2001,1689,35680
2010,3692,4509,2861,831,35660
2011,3692,4509,2861,831,42013
2012,3692,4509,2861,831,42013
2013,3496,4509,2861,635,44427
2014,3497,4509,2209,1288,44414
