year,R,S,P,Shortfall,PopulationCovered,per_1000
2005,1070,1070,912,158,29664,30.74
2006,1072,1070,907,165,29609,30.63
2007,1073,1073,1034,39,29581,34.95
2008,1073,1073,1019,54,29431,34.62
2009,1084,1084,1019,65,29281,34.80
2010,1096,1096,837,259,28961,28.90
2011,1123,1123,778,345,30873,25.20
2012,1158,1123,778,380,29940,25.99
2013,1158,1504,889,269,29961,29.67
2014,1158,1504,889,269,29961,29.67
