year,R,S,P,Shortfall,PopulationCovered
2005,334,668,643,-309,22835
2006,374,668,643,-269,20393
2007,374,668,643,-269,20393
2008,375,0,451,-76,20366
2009,375,774,550,-175,20339
2010,375,750,786,-411,20339
2011,397,750,881,-484,23010
2012,396,750,845,-449,23068
2013,637,1030,1224,-587,14298
2014,637,1030,1224,-587,14298
