year,R,S,P,Shortfall,PopulationCovered
2005,229,1304,840,-611,27555
2006,222,272,182,40,28425
2007,232,272,182,50,27199
2008,239,1798,866,-627,26801
2009,239,281,126,113,26403
2010,239,299,234,5,26403
2011,239,299,234,5,29396
2012,257,299,205,52,27337
2013,257,299,125,132,27381
2014,257,325,160,97,27381
