year,R,S,P,Shortfall,PopulationCovered
2005,1282,1353,1353,-71,24405
2006,1279,1353,1353,-74,24462
2007,1279,1353,1353,-74,24462
2008,1279,1353,1353,-74,24462
2009,1279,1353,866,413,24462
2010,1279,1396,1074,205,24462
2011,1228,725,525,703,28462
2012,1226,1317,1069,157,28508
2013,1305,1317,1027,278,26797
2014,1305,1312,973,332,26797
