year,R,S,P,Shortfall,PopulationCovered
2005,1380,2895,2263,-883,25305
2006,1252,3089,2537,-1285,27893
2007,1181,2260,1984,-803,29570
2008,1215,2445,2260,-1045,28459
2009,1277,2463,1271,6,27347
2010,1283,2569,2268,-985,27219
2011,1204,2326,1704,-500,30888
2012,1227,2390,2271,-1044,30309
2013,1229,2394,1979,-750,30293
2014,1229,2394,1979,-750,27195
