year,R,S,P,Shortfall,Population Covered,per_1000
2005,78,78,78,0,11154,6.99
2006,85,78,78,7,10236,7.62
2007,85,78,78,7,10236,7.62
2008,116,0,87,29,8869,9.81
2009,116,0,87,29,7501,11.60
2010,97,0,92,5,8970,10.26
2011,97,0,92,5,11022,8.35
2012,97,0,92,5,11022,8.35
2013,97,0,92,5,10993,8.37
2014,117,0,92,25,9114,10.09
