year,R,S,P,Shortfall,PopulationCovered
2005,87,53,53,34,18933
2006,84,53,53,31,19610
2007,84,53,53,31,19610
2008,86,53,79,7,16501
2009,123,53,144,-21,13392
2010,126,33,102,24,13073
2011,126,0,101,25,11166
2012,126,0,99,27,11166
2013,126,101,127,-1,11171
2014,126,101,126,0,11171
