year,R,S,P,Shortfall,PopulationCovered
2005,1780,3157,3158,-1378,31335
2006,1800,1800,1191,609,30988
2007,1800,1800,1191,609,30988
2008,1816,1800,1191,625,30852
2009,1816,1800,2065,-249,30715
2010,1816,1800,2065,-249,30715
2011,1809,3618,2292,-483,24022
2012,1811,3618,2760,-949,33984
2013,1811,3009,2499,-688,33990
2014,1811,3009,2506,-695,33990
