year,R,S,P,Shortfall,PopulationCovered
2005,24,48,38,-14,20040
2006,24,48,48,-24,20041
2007,24,48,38,-14,20041
2008,24,48,42,-18,20041
2009,24,48,51,-27,20041
2010,24,48,45,-21,20041
2011,24,48,39,-15,18998
2012,24,48,32,-8,18998
2013,24,0,28,-4,19042
2014,24,0,38,-14,19042
