year,R,S,P,Shortfall,PopulationCovered
2005,1675,1510,1311,364,25846
2006,1713,1525,1316,397,25273
2007,1499,1527,1318,181,28881
2008,1503,1695,1542,-39,28843
2009,1503,1687,1523,-20,28804
2010,1504,1659,1763,-259,28785
2011,1517,1478,1472,45,33975
2012,1528,1824,1755,-227,33731
2013,1610,1824,1755,-145,31988
2014,2082,2562,2111,-29,24736
